article_id,guid,title,description,category,image,image_caption,image_credit,pub_date,tags,author,source,language,image_name,fetching_time
qj1C5aQ9gYZo8ZB5,https://www.haaretz.co.il/food/2025-09-28/ty-article-magazine/.premium/00000199-5c10-d0dc-afdb-deb72c550000,"ריה: בית יין חדש של עדן שרייר דור, ה""בת של ננוצ'קה""","עם 32 שקל לכוס יין מהיקב המשפחתי ההולך ונבנה, עדן שרייר דור מנסה להרגיל את צרכני הבירה של עמק הירדן ליין טוב. בדרך לשם היא לא מהססת להכניס יין אדום למקרר, ולא מתגעגעת לעיר הגדולה",אוכל,qj1C5aQ9gYZo8ZB5.jpg,"עדן שרייר דור. ""תל אביב ירדה מהפרק אצלי"". צילום: באדיבות המצולמת",haaretz,2025-09-28T11:58:35+03:00,,איתן לשם,haaretz,he,29ea922a-e065-4d5f-ba28-8ac4809c66a1,2025-09-28T09:04:04.839020+00:00
LF6jl5cMzRSEHk_z,https://www.haaretz.co.il/gallery/gaming/2025-09-28/ty-article-review/.premium/00000199-8f65-daea-adff-bfe7efb30000,Mafia: The Old Country: תחליטו למי להיות נאמנים,"The Old Country, המשחק החדש בסדרת ""מאפיה"", מתחמק מהקלישאות הוויזואליות אבל נופל לאחרות. אם אתם לא מחפשים משהו קצת יותר עמוק, זו הצעה שאי אפשר לסרב לה",תרבות|גיימינג,LF6jl5cMzRSEHk_z.jpg,איור: לי-אור עצמון פרואין,haaretz,2025-09-28T11:33:19+03:00,,עודד פוירשטיין,haaretz,he,63209179,2025-09-28T09:04:04.839113+00:00
PhZidQjKDSOiFBCi,https://www.haaretz.co.il/news/world/america/2025-09-28/ty-article/.premium/00000199-8f33-d772-a59f-8f77a66d0000,"טראמפ שולח חיילים לפורטלנד ""הנתונה במלחמה"" כדי להגן על מתקנים של סוכנות ההגירה - ומואשם בשקרים","מושלת אורגון וראש העיר של פורטלנד דחו את דברי הנשיא האמריקאי וטענו שאין בעיר איום ביטחוני או אנרכיה, ושהמחאה מול מתקן ICE קטנה ושקטה. סנאטור דמוקרטי מאורגון: ""הנשיא שלח לכאן סוכנים כדי ליצור כאוס ומהומות""",חדשות|אמריקה,PhZidQjKDSOiFBCi.jpg,"השליח ויטקוף והנשיא טראמפ בניו־יורק, בתחילת החודש. צילום: Evelyn Hockstein/רויטרס",haaretz,2025-09-28T11:23:45+03:00,,גרדיאן,haaretz,he,243144,2025-09-28T09:04:04.839152+00:00
wYA7v7rEFo5hpOqB,https://www.haaretz.co.il/news/law/2025-09-28/ty-article/.premium/00000199-8ef3-dbe0-af9d-9ef336480000,"מפגין שכרז שמות חטופים מול ביתו של אוחנה נעצר בפעם השביעית, שוטרים ניסו לפרוץ לרכבו","בית המשפט קבע בשבוע שעבר במקרה דומה כי ניסיון של שוטרים לפרוץ לרכב של מפגין היווה ""התנהלות בעייתית"". המשטרה טענה כי לוי פעל בניגוד להחלטת בג""ץ כשחצה את הגבול המותר למחאה רועשת, אך לוי טען שלא ניתן לעצור אותו בלי צו בית משפט מפני שכרז מתוך הרכב שלו",חדשות|משפט ופלילים,wYA7v7rEFo5hpOqB.jpg,"טראמפ ונתניהו בבית הלבן, בפברואר. הפגישה עשויה להטות את הספינה בכיוון סיום המלחמה. צילום: Evan Vucci/אי־פי",haaretz,2025-09-28T10:55:45+03:00,,בר פלג,haaretz,he,265359-2,2025-09-28T09:04:04.839187+00:00
VP_46IWMVpGhdZkF,https://www.haaretz.co.il/news/politics/2025-09-28/ty-article/00000199-8f30-d27b-affd-dfb0e5190000,"בניגוד לעמדת גורמי המקצוע, הוועדה לביטחון לאומי דנה בהצעת חוק עונש מוות למחבלים","יו""ר הוועדה פוגל התייחס להתנגדויות של גורמי המקצוע להצעת החוק ואמר כי החליט שלא לקבל את הערכת המצב שלהם. הוא גם דחה את התנגדותו של מתאם השבויים והנעדרים הירש שאמר בוועדה: זו סכנת נפשות. יש לנו עוד 48 חטופים להשיב, הדיון הזה לא עוזר לנו",חדשות|מדיני ביטחוני,VP_46IWMVpGhdZkF.jpg,"הירש בוועדה, הבוקר. ""באתי לכאן לבקש שהדיון לא יתקיים, אני צריך לעמוד במשימת השבת החטופים"". צילום: אורן בן חקון",haaretz,2025-09-28T10:42:41+03:00,,נעה שפיגל,haaretz,he,img-20250928-wa0028,2025-09-28T09:04:04.839220+00:00
G4xBdP3lEyjJ5_7m,https://www.haaretz.co.il/news/politics/2025-09-28/ty-article/.premium/00000199-8d6c-d27b-affd-dffcce8a0000,"הרוח בוושינגטון שינתה כיוון, ונתניהו ייאלץ להתמודד עם הלחץ לסיים את המלחמה","ראש הממשלה ימריא מחר לביקורו הרביעי השנה בבית הלבן, וידון עם טראמפ בתוכנית ""21 הנקודות"" שלו. נראה שהפעם, לפחות בצד הישראלי, עלילת המחזה רחוקה מלהיות כתובה מראש",חדשות|מדיני ביטחוני,G4xBdP3lEyjJ5_7m.jpg,"טראמפ ונתניהו בבית הלבן, בפברואר. הפגישה עשויה להטות את הספינה בכיוון סיום המלחמה. צילום: Evan Vucci/אי־פי",haaretz,2025-09-28T10:33:41+03:00,,ליזה רוזובסקי,haaretz,he,203764,2025-09-28T09:04:04.839251+00:00
JSKCHK8UWL1fhCgA,https://www.haaretz.co.il/news/law/2025-09-28/ty-article/.premium/00000199-8f2e-daea-adff-bfef8b050000,"בית המשפט גזר 12 עד 14 שנות מאסר על שבעת מבצעי הלינץ' ביגאל יהושע במהלך ""שומר החומות""","השבעה הורשעו בחבלה בכוונה מחמירה במסגרת הסדר טיעון שבו הודו במיוחס להם, ובית המשפט קבע כי המניע למעשה היה לאומני ובנסיבות של מעשה טרור. נגזרו גם שלוש שנות מאסר על אדם שמיני ששיבש את חקירת הלינץ' והשליך במסגרתו אבנים, אך לא על יהושע",חדשות|משפט ופלילים,JSKCHK8UWL1fhCgA.jpg,"טראמפ ונתניהו בבית הלבן, בפברואר. הפגישה עשויה להטות את הספינה בכיוון סיום המלחמה. צילום: Evan Vucci/אי־פי",haaretz,2025-09-28T10:19:06+03:00,,יהושע (ג'וש) בריינר,haaretz,he,254390-1,2025-09-28T09:04:04.839282+00:00
jzH7vjfvRq1qfxxw,https://www.haaretz.co.il/nature/2025-09-28/ty-article/.premium/00000199-8ee4-daea-adff-bfe799f50000,"הצעת חוק מבקשת להסדיר את הטיפול בפסולת בניין, אך האם היא מטפלת בכל הבעיה?","במהלך דיון שהתקיים בכנסת הוצגו עקרונות החוק המתגבש, ובמרכזם העיקרון לפי התשלום עבור הפינוי יתבצע למנגנון ממשלתי והעברת הכסף למפנה הפסולת תיעשה רק לאחר שיתקבל אישור שהפינוי נעשה לאתר חוקי",סביבה ואקלים,jzH7vjfvRq1qfxxw.jpg,132457,haaretz,2025-09-28T10:09:54+03:00,,צפריר רינת,haaretz,he,512416,2025-09-28T09:04:04.839327+00:00
PiGnnCPwrEF_kX3J,https://www.haaretz.co.il/food/salads/2025-09-28/ty-article-magazine/0000017f-e535-d9aa-afff-fd7d08160000,30 דרכים להכין סלטים עם סלק,"טרי, מבושל או צלוי: בין אם בתפקיד הראשי ובין אם בתפקיד המשני - הסלק הוא תוספת מרעננת, פריכה ומתקתקה, צבעונית ופשוט טעימה לכל סלט",אוכל|סלטים וירקות,PiGnnCPwrEF_kX3J.jpg,סלט סלק. צילום: אנטולי מיכאלו,haaretz,2025-09-28T09:54:00+03:00,,רותם מימון,haaretz,he,1206909438,2025-09-28T09:04:04.839364+00:00
6v8pT8RSVGHBctdW,https://www.haaretz.co.il/news/world/america/2025-09-28/ty-article-magazine/.premium/00000199-8eeb-d27b-affd-defb00540000,ארגון פשיעה בארגנטינה העביר בשידור חי ברשתות חברתיות עינויים ורצח של שתי נשים ונערה,"עשרות אלפי בני אדם הפגינו בבואנוס איירס בעקבות הפשע המזעזע שבו פותו שתי בנות דודות בגיל 20 ובת 15 לנסיעה ברכב מסחרי, הוסעו לבית בפרברי העיר, שם עונו ונרצחו לעיני מצלמות. במהלך השידור נשמע אחד מראשי כנופיית מבריחי הסמים אומר: ""זה מה שקורה למי שגונב לי סמים""",חדשות|אמריקה,6v8pT8RSVGHBctdW.jpg,"מפגינים בבואנוס איירס מוחים על רצח שלוש הנשים, ברנדה דל קסטיו, מורנה ורדי ולארה גוטיירס, אתמול. צילום: Gustavo Garello/אי־פי",haaretz,2025-09-28T09:45:45+03:00,,ניו יורק טיימס,haaretz,he,248191,2025-09-28T09:04:04.839391+00:00
