id,title,description,category,image,imageCaption,imageCredit,pubDate,tags,creator,source,language,imageName
81dd001d868af1d95e9f95b7a1c1074cc0f3ede1,"דובר צה""ל בהצהרה ראשונה אחרי תחילת המבצע: ""אוחזים בשטחים נרחבים בעיר עזה"" | ישיר","תא""ל אפי דפרין מוסר הצהרה בזיקים, לאחר פתיחת השלב הקרקעי של מבצע מרכבות גדעון ב' והרחבתו לליבת העיר עזה",חדשות|פוליטי מדיני|צבא וביטחון,data/pics/ynet_0001_cea36456.jpg,"דובר צה""ל תא""ל אפי דפרין-דובר צה""ל",ynet,2025-09-16T18:16:42+03:00,"צה""ל , עזה , רצועת עזה , דובר צה""ל , מרכבות גדעון ב'",גל גנות,ynet,he,SJoBDQVHeg_0_48_1304_735_0_medium
bb61a6430e8cc97b62ccf128221f9ee579ffa230,שם את מכבי תל אביב בצד: המונולוג של עודד קטש למען החטופים,"המאמן הישראלי עצר את מסיבת העיתונאים לקראת המשחק נגד הפועל ירושלים בסופרקאפ והתייחס למלחמה: ""אני כל פעם כועס על עצמי שאני לא מזכיר את זה מספיק, בטח עכשיו""",כדורסל ישראלי,data/pics/hayom_0001_b6318dc6.jpg,עודד קטש,Partizan BC,2025-09-16T18:16:06+03:00,החטופים|מכבי תל אביב בכדורסל|עודד קטש,מערכת ספורט היום,hayom,he,טש
7995bbfd4b4a052585a70d1cb9e5d4531f5301cc,במאות אלפי שקלים: המיליארדר במהלך לקידום ישראל בעולם,תנאי השימוש,מפה,data/pics/hayom_0002_1cda7390.jpg,ברנדון קורף,אור גפן,2025-09-16T18:15:01+03:00,ברנדון קורף,ערן סויסה,hayom,he,d983e4e4-0dc0-41a1-96b0-222ce3056b53
1423d258bf7c47f81066e282e6d6e7e712e4e435,"מאחורי הקלעים של מבצע ""עם כלביא"": ""הנהגת המדינה ירדה למקום בטוח""",המבצע שהתקיים בחודש יוני האחרון הפתיע את כל תושבי המדינה - חוץ ממי ששהו בחדרים הסגורים ואישרו אותו • סרט חדש יחשוף מה קרה מאחורי הקלעים עד קבלת ההחלטה הדרמטית,טלוויזיה,data/pics/hayom_0003_f08fe184.jpeg,מערכת החץ במהלך מבצע עם כלביא,אגף דוברות וקשרי ציבור במשרד הביטחון.,2025-09-16T18:11:52+03:00,איראן|ישראל|מבצע עם כלביא|רשת 13,מערכת ישראל היום,hayom,he,WhatsApp-Image-2025-07-17-at-09.31.38
f04dae1221f45367ba67dc34174fe6c54b42c22c,הצהרות מנהיגי ערב היו ריקות מתוכן. בזמן שהתכנסו בדוחה – עזה נפלה,"בפסגת המדינות הערביות והאסלאמיות בדוחה נשמעו הרבה קריאות מוסריות וגינויים, אך רצון אמיתי לפעול כדי להפסיק את פעולות ישראל ברצועה לא היה שם. בעוד כמה ימים יוצב שוב דגל ישראל בכיכר פלסטין שבמרכז עזה",חדשות|מדיני ביטחוני,data/pics/haaretz_0001_5204d296.jpg,,haaretz,2025-09-16T18:08:37+03:00,,ג'קי חורי,haaretz,he,090119
ad96eb83790317c92eb402a531861fc63038c5a9,דיווח: גולדן סטייט ווריורס פועלת לצרף את ניקולה יוקיץ' ויאניס אנטטוקומפו,"סם אמיק מ""האת'לטיק"" מדווח כי הקבוצה מפנה תקציב משמעותי על מנת להביא לפחות אחד משני הכוכבים הגדולים בקיץ 2027, שם שניהם מחזיקים באופציית שחקן • בנוסף, הוא מדווח כי קבוצות NBA נוספות משווקים גדולים פועלות בצורה דומה",כדורסל עולמי,data/pics/hayom_0004_71743cca.jpg,ניקולה יוקיץ' מול יאניס אנטטוקומפו,AP,2025-09-16T18:07:27+03:00,NBA|גולדן סטייט ווריורס|יאניס אנטטוקומפו|ניקולה יוקיץ',מערכת ספורט היום,hayom,he,Bucks_Nuggets_Basketball_96958-512af
436c7c01c9578cdc74e966d5fc909ed8688316f9,"הרצוג בביקורת על נאום ""ספרטה"" של נתניהו: ""אסור להשלים עם הבידוד""","""אסור לנו לשרוף את הגשרים - אסור לנו להסתגר, להתבודד ולהתבצר"", טען בנחרצות הנשיא, בטקס האזכרה לשמעון פרס • ""זה קריטי עבור ביטחונם של אזרחי ישראל, זה קריטי עבור ביטחונן של הקהילות היהודיות בתפוצות, וזה קריטי עבור עתידה של מדינת ישראל"" • דבריו נמסרו בעקבות אזהרת רה""מ, כי ישראל תיאלץ להתמודד עם חסימות בתחום התעשייה והנשק",פוליטי-מדיני,data/pics/hayom_0005_9b3b5905.jpeg,"""בפן הכלכלי, הביטחוני והמדיני – ישראל שאפה ופעלה תמיד לעוצמה חוצת גבולות, ואני מאמין בכל ליבי שכך גם נמשיך"". הנשיא הרצוג (ארכיון)",חיים צח/ לע״מ,2025-09-16T18:07:13+03:00,,לידור סולטן,hayom,he,WhatsApp-Image-2025-09-14-at-16.50.11
61d4206e0893acbfea49facc0df8cafee291d9db,THIS IS SPARTA: מי אלו הספרטנים ואיך זה קשור לביבי?,"לאחר הנאום של נתניהו, בו קבע שישראל נכנסת לבידוד ועליה להפוך ל״סופר-ספרטה״, חזרנו להבין מה היא בכלל ספרטה ואיך כל זה קשור למצב שלנו במדינה? • צפו בסרטון",בארץ,data/pics/hayom_0006_a2c800e8.jpg,מי אלו הספרטנים?,ללא קרדיט,2025-09-16T18:05:40+03:00,שורטס,אלעד מרגי,hayom,he,16.9-7
012bf08124c5d46e10b197981289198083ed3673,טקס חלוקת המדליות המציא את עצמו מחדש. זו חוויה נהדרת ומרגשת,"ההחלטה להעביר את חלוקת המדליות מטקס באיצטדיון אל איזור אוהדים מחוצה לו היא מוצלחת במיוחד, גם אם היא לא מבוצעת בצורה מושלמת ■ הג'מייקנים הם חוויה – גם האתלטים וגם האוהדים ■ טוקיו לא מאירה פנים לגראנט הולוואיי, שהודח כבר בחצי הגמר ב-110 מטר משוכות",ספורט|ענפים נוספים,data/pics/haaretz_0002_f9f0354d.jpg,,haaretz,2025-09-16T18:00:19+03:00,,עוזי דן,haaretz,he,085036
606b98c531b774d0ce99246f3f8e957aa19516aa,חברת סייבר ישראלית חשפה חולשת אבטחה חמורה ב-Google Pay,חברת אימפרבה זיהתה חולשה שאפשרה לתוקפים לשים את ידם על ארבע ספרות כרטיס האשראי האחרונות של המשתמשים,חדשות טכנולוגיה,data/pics/hayom_0007_923ad3aa.jpg,Google Pay,GettyImages,2025-09-16T18:00:13+03:00,גוגל|גוגל פיי|טכנולוגיה|סייבר,מערכת ישראל היום,hayom,he,GettyImages-1042361096
dbed1758de3dba544ebf8ae749eb132443d32805,"אתה לא בוחר את המטרות, לא מחליט על המשימה. קל לחשוב ככה, אפילו מנחם","מתישהו אי-שם בעתיד תשאל את עצמך את השאלה. השקט ירעיש. וגם: הדרך לגיהינום מלאה הפרדות, איך פעם התמודדו באנגליה עם משברים, מה אפשר לקבל במסעדה תמורת 400 דולר, והזדמנות לצפות בסרטים ישראליים | היום ביומית",דיגיטל|היומית,data/pics/haaretz_0003_0fafb2f3.jpg,,haaretz,2025-09-16T17:58:45+03:00,,נועה אפשטיין,haaretz,he,099093
